model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
SpeechBrain,8,281474977594045,1.0,0.9458333333333333,0.9721627408993576,0.9674185463659147,1.0,0.0,0.05416666666666667
Pyannote,9,281474977608892,0.8834476003917727,1.0,0.9381175247009881,0.8839024390243903,0.032520325203252036,0.11655239960822723,0.0
FunASR,9,281474977608892,0.8860510805500982,1.0,0.9395833333333333,0.8861629048086359,0.008547008547008548,0.11394891944990176,0.0
Silero,9,281474977608892,0.8834476003917727,1.0,0.9381175247009881,0.8835616438356164,0.008333333333333333,0.11655239960822723,0.0
SpeechBrain,9,281474977608892,0.9456762749445676,0.9456762749445676,0.9456762749445676,0.9017051153460381,0.4842105263157895,0.05432372505543237,0.05432372505543237
Pyannote,10,281474977646560,0.7955911823647295,0.9900249376558603,0.8822222222222222,0.8293075684380032,0.5363636363636364,0.20440881763527055,0.00997506234413965
FunASR,10,281474977646560,0.8167006109979633,1.0,0.899103139013453,0.8305084745762712,0.3076923076923077,0.18329938900203666,0.0
Silero,10,281474977646560,1.0,0.9625935162094763,0.9809402795425667,0.9710982658959537,1.0,0.0,0.03740648379052369
SpeechBrain,10,281474977646560,0.9974874371859297,0.9900249376558603,0.9937421777221527,0.9903846153846154,0.9915966386554622,0.002512562814070352,0.00997506234413965
Pyannote,11,281474977648654,1.0,0.9769230769230769,0.9883268482490273,0.9815950920245399,1.0,0.0,0.023076923076923078
FunASR,11,281474977648654,0.7001795332136446,1.0,0.8236536430834214,0.8514234875444839,0.7724795640326976,0.2998204667863555,0.0
Silero,11,281474977648654,0.989821882951654,0.9974358974358974,0.9936143039591315,0.9898580121703854,0.9611650485436893,0.010178117048346057,0.002564102564102564
SpeechBrain,11,281474977648654,1.0,0.9769230769230769,0.9883268482490273,0.9815950920245399,1.0,0.0,0.023076923076923078
Pyannote,12,281474977657137,1.0,0.9146757679180887,0.9554367201426025,0.9695121951219512,1.0,0.0,0.08532423208191127
FunASR,12,281474977657137,0.9127725856697819,1.0,0.9543973941368078,0.9661016949152542,0.9474671669793621,0.08722741433021806,0.0
Silero,12,281474977657137,1.0,0.9488054607508533,0.9737302977232924,0.9817073170731707,1.0,0.0,0.051194539249146756
SpeechBrain,12,281474977657137,1.0,0.9010238907849829,0.947935368043088,0.9646341463414634,1.0,0.0,0.09897610921501707
Pyannote,13,281474977658515,0.8914728682170543,1.0,0.9426229508196722,0.9154078549848943,0.7227722772277227,0.10852713178294573,0.0
FunASR,13,281474977658515,0.8363636363636363,1.0,0.9108910891089109,0.8628048780487805,0.5408163265306123,0.16363636363636364,0.0
Silero,13,281474977658515,0.8983739837398373,0.9608695652173913,0.9285714285714286,0.896969696969697,0.75,0.1016260162601626,0.0391304347826087
SpeechBrain,13,281474977658515,0.756578947368421,1.0,0.8614232209737828,0.7716049382716049,0.2127659574468085,0.24342105263157895,0.0
Pyannote,14,281474977673370,0.9182763744427934,0.9626168224299065,0.9399239543726235,0.8993630573248408,0.6153846153846154,0.08172362555720654,0.037383177570093455
FunASR,14,281474977673370,0.9106382978723404,1.0,0.9532293986636972,0.9197452229299363,0.5594405594405595,0.08936170212765958,0.0
