model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
ASRmodel,5,281474977544630,0.0,0.0,0.0,0.10269034640407948,0.5816733067729084,1.0,1.0
Pyannote,6,281474977585189,0.8202358959783999,0.9924346629986245,0.8981560725122539,0.8159448818897638,0.023919753086419752,0.17976410402160012,0.007565337001375516
FunASR,6,281474977585189,0.8087887637324433,1.0,0.8942876912431768,0.9180620940349205,0.8746010031919744,0.19121123626755668,0.0
Silero,6,281474977585189,1.0,0.9896836313617606,0.9948150708606982,0.9915635545556806,1.0,0.0,0.01031636863823934
SpeechBrain,6,281474977585189,1.0,0.9613136176066025,0.9802752695713158,0.968363329583802,1.0,0.0,0.03868638239339752
ASRmodel,6,281474977585189,0.0,0.0,0.0,0.10643982002249719,0.5841049382716049,1.0,1.0
Pyannote,7,281474977594045,0.9554556599918267,0.9713336103032821,0.9633292130201896,0.956564177647633,0.9355410999408634,0.044544340008173276,0.028666389696717906
FunASR,7,281474977594045,0.6938599019890458,1.0,0.8192648059904697,0.7535962877030162,0.441933788754598,0.30614009801095415,0.0
Silero,7,281474977594045,1.0,0.9555463232239302,0.9772678988740174,0.9731762346452745,1.0,0.0,0.044453676776069796
SpeechBrain,7,281474977594045,1.0,0.9434981304528459,0.9709277469003847,0.9659062421659563,1.0,0.0,0.05650186954715413
ASRmodel,7,281474977594045,0.4577102230938956,0.7756543415039469,0.5757015109466543,0.4603921568627451,0.1786112142591905,0.5422897769061045,0.22434565849605317
Pyannote,8,281474977646560,0.7945945945945946,0.9915063702223332,0.8821960435652367,0.8292525773195877,0.5346938775510204,0.20540540540540542,0.00849362977766675
FunASR,8,281474977646560,0.8152749490835031,1.0,0.8982385279928194,0.8289002075080174,0.3012326656394453,0.18472505091649694,0.0
Silero,8,281474977646560,0.9997412677878396,0.9652760429677741,0.9822064056939501,0.9729886166312947,0.9991525423728813,0.000258732212160414,0.03472395703222583
SpeechBrain,8,281474977646560,0.9977386934673367,0.9920059955033724,0.9948640861831392,0.9921017145058756,0.9924242424242424,0.0022613065326633165,0.00799400449662753
ASRmodel,8,281474977646560,0.9266203703703704,1.0,0.961912771837078,0.9396305465625595,0.7459935897435898,0.07337962962962963,0.0
Pyannote,9,281474977648654,1.0,0.9771970279272355,0.9884670208630296,0.9817846909537454,1.0,0.0,0.02280297207276454
FunASR,9,281474977648654,0.6995877397383043,1.0,0.8232440413414891,0.8507701896536373,0.7712882096069869,0.30041226026169565,0.0
Silero,9,281474977648654,0.9895727365208545,0.9969254419677172,0.9932354818123803,0.9892429470265882,0.9599609375,0.010427263479145472,0.0030745580322828594
SpeechBrain,9,281474977648654,1.0,0.97847809377402,0.9891219891219891,0.9828080229226361,1.0,0.0,0.021521906225980016
ASRmodel,9,281474977648654,0.5455091619104836,0.9305662311042787,0.6878136540100369,0.5868938729482521,0.25796959293771454,0.45449083808951635,0.06943376889572124
Pyannote,10,281474977657137,1.0,0.9156996587030717,0.9559950115802601,0.9698449517763399,1.0,0.0,0.08430034129692833
FunASR,10,281474977657137,0.9127725856697819,1.0,0.9543973941368078,0.9660647194279481,0.9473783123473032,0.08722741433021806,0.0
Silero,10,281474977657137,1.0,0.9484641638225256,0.9735505342441758,0.9815651324624588,1.0,0.0,0.051535836177474405
SpeechBrain,10,281474977657137,1.0,0.9010238907849829,0.947935368043088,0.9645952875106825,1.0,0.0,0.09897610921501707
ASRmodel,10,281474977657137,0.0,0.0,0.0,0.3309730191673788,0.515301273522144,1.0,1.0
Pyannote,11,281474977658515,0.8880712625871418,1.0,0.9407179487179487,0.9125567322239032,0.7144268774703557,0.11192873741285825,0.0
FunASR,11,281474977658515,0.8338181818181818,1.0,0.909379337695816,0.8602873738917762,0.532719836400818,0.16618181818181818,0.0
Silero,11,281474977658515,0.8986156351791531,0.9624945486262538,0.9294588334386187,0.8982072318444242,0.750501002004008,0.10138436482084691,0.03750545137374618
SpeechBrain,11,281474977658515,0.7542763157894737,1.0,0.8599287455465967,0.7688022284122563,0.20362473347547974,0.24572368421052632,0.0
ASRmodel,11,281474977658515,1.0,0.6934147405146097,0.8189544166881277,0.7689020381328073,1.0,0.0,0.30658525948539034
Pyannote,12,281474977673370,0.9177309177309178,0.9638178415470992,0.9402099497946144,0.8998087954110898,0.6133984647592463,0.08226908226908226,0.03618215845290081
FunASR,12,281474977673370,0.9095035460992907,1.0,0.9526073391769425,0.9186328274454789,0.5535339398180545,0.09049645390070922,0.0
Silero,12,281474977673370,0.8681558158539907,0.9940736119775421,0.926857641413407,0.8720264597379468,0.33195307108350586,0.13184418414600926,0.005926388022457892
SpeechBrain,12,281474977673370,0.9553990610328639,0.9521210230817218,0.953757225433526,0.9218585005279831,0.7551546391752577,0.04460093896713615,0.04787897691827823
ASRmodel,12,281474977673370,0.7757575757575758,0.2794759825327511,0.41091492776886035,0.321805702217529,0.5549828178694158,0.22424242424242424,0.7205240174672489
Pyannote,13,281474977678109,0.3913997367266345,0.9504528502930207,0.5544677544677544,0.7497381284916201,0.7104081845704144,0.6086002632733655,0.049547149706979224
FunASR,13,281474977678109,0.8160869565217391,1.0,0.898731146756045,0.8566587597424602,0.6061452513966481,0.18391304347826087,0.0
Silero,13,281474977678109,0.901252408477842,0.996803409696324,0.9466228181128257,0.9234675371780922,0.7670454545454546,0.098747591522158,0.0031965903036760787
SpeechBrain,13,281474977678109,0.3910416666666667,1.0,0.5622285457540812,0.7480389621584346,0.6994035376388318,0.6089583333333334,0.0
ASRmodel,13,281474977678109,0.2736040609137056,0.8614810868407032,0.4153075638885322,0.385642963162866,0.22425009035056018,0.7263959390862944,0.13851891315929676
Pyannote,14,281474977680938,0.9585401459854015,0.9791231732776617,0.9687223369725583,0.9541224843107552,0.88801261829653,0.04145985401459854,0.020876826722338204
FunASR,14,281474977680938,0.7568848758465011,1.0,0.861621482718746,0.856610304886167,0.740981240981241,0.24311512415349887,0.0
Silero,14,281474977680938,0.9990974729241877,0.990456307784074,0.994758124906395,0.9921857557490511,0.9973357015985791,0.0009025270758122744,0.009543692215926037
SpeechBrain,14,281474977680938,1.0,0.9841932597673725,0.992033669021494,0.9881670015628489,1.0,0.0,0.015806740232627497
ASRmodel,14,281474977680938,0.7067842085090073,0.5499552639427379,0.6185843676618584,0.49229738780977894,0.3206039076376554,0.2932157914909927,0.45004473605726214
