model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
SpeechBrain,172,IISc_VaaniProject_S_Bihar_Gaya_120680_12220164_BHCS_123184_13657_20007,1.0,0.9732620320855615,0.986449864498645,0.9760383386581469,1.0,0.0,0.026737967914438502
Pyannote,173,IISc_VaaniProject_S_Bihar_Gaya_122195_12057006_BHGJBR_169544_60_5442,0.9981308411214953,0.9981308411214953,0.9981308411214953,0.9962962962962963,0.8,0.001869158878504673,0.001869158878504673
FunASR,173,IISc_VaaniProject_S_Bihar_Gaya_122195_12057006_BHGJBR_169544_60_5442,0.9944029850746269,0.9962616822429906,0.9953314659197012,0.9907235621521335,0.25,0.005597014925373134,0.003738317757009346
Silero,173,IISc_VaaniProject_S_Bihar_Gaya_122195_12057006_BHGJBR_169544_60_5442,1.0,1.0,1.0,1.0,1.0,0.0,0.0
SpeechBrain,173,IISc_VaaniProject_S_Bihar_Gaya_122195_12057006_BHGJBR_169544_60_5442,1.0,0.9850467289719627,0.992467043314501,0.9851576994434137,1.0,0.0,0.014953271028037384
Pyannote,174,IISc_VaaniProject_S_Bihar_Gaya_122195_12390779_BHGJPL_185976_0_9306,0.9977900552486187,0.9741100323624595,0.9858078602620087,0.9721329046087889,0.6666666666666666,0.0022099447513812156,0.025889967637540454
FunASR,174,IISc_VaaniProject_S_Bihar_Gaya_122195_12390779_BHGJPL_185976_0_9306,0.9967672413793104,0.9978425026968716,0.9973045822102425,0.9946294307196563,0.25,0.003232758620689655,0.002157497303128371
Silero,174,IISc_VaaniProject_S_Bihar_Gaya_122195_12390779_BHGJPL_185976_0_9306,0.9967741935483871,1.0,0.9983844911147012,0.9967776584317938,0.25,0.0032258064516129032,0.0
SpeechBrain,174,IISc_VaaniProject_S_Bihar_Gaya_122195_12390779_BHGJPL_185976_0_9306,1.0,0.8878101402373247,0.9405714285714286,0.8882921589688507,1.0,0.0,0.1121898597626753
Pyannote,175,IISc_VaaniProject_S_Bihar_Gaya_128223_12213004_BHGJAT_10376_0_7510,0.8874458874458875,1.0,0.9403669724770642,0.8966887417218543,0.44285714285714284,0.11255411255411256,0.0
FunASR,175,IISc_VaaniProject_S_Bihar_Gaya_128223_12213004_BHGJAT_10376_0_7510,0.8502080443828016,0.9967479674796748,0.9176646706586826,0.8537234042553191,0.2116788321167883,0.14979195561719832,0.0032520325203252032
Silero,175,IISc_VaaniProject_S_Bihar_Gaya_128223_12213004_BHGJAT_10376_0_7510,0.9044117647058824,1.0,0.9498069498069498,0.913563829787234,0.5255474452554745,0.09558823529411764,0.0
SpeechBrain,175,IISc_VaaniProject_S_Bihar_Gaya_128223_12213004_BHGJAT_10376_0_7510,0.9909255898366606,0.8878048780487805,0.9365351629502573,0.901595744680851,0.9635036496350365,0.009074410163339383,0.11219512195121951
