model,file index,audio file,precision,recall,f1_score,accuracy,specificity,fdr,miss_rate
FunASR,16,IISc_VaaniProject_M_BR_Gaya_02606824_0906320000_BHGJTE_1738_537_9108,0.991812865497076,1.0,0.9958896065766295,0.991822429906542,0.125,0.008187134502923977,0.0
Silero,16,IISc_VaaniProject_M_BR_Gaya_02606824_0906320000_BHGJTE_1738_537_9108,0.9882659713168188,0.8938679245283019,0.9386996904024768,0.8846153846153846,0.1,0.011734028683181226,0.10613207547169812
SpeechBrain,16,IISc_VaaniProject_M_BR_Gaya_02606824_0906320000_BHGJTE_1738_537_9108,0.9946524064171123,0.8773584905660378,0.9323308270676691,0.8733880422039859,0.2,0.0053475935828877,0.12264150943396226
ASRmodel,16,IISc_VaaniProject_M_BR_Gaya_02606824_0906320000_BHGJTE_1738_537_9108,1.0,0.2865566037735849,0.4454628780934922,0.289906103286385,1.0,0.0,0.7134433962264151
Pyannote,17,IISc_VaaniProject_M_BR_Gaya_10106453_0646190000_BHAC_134185_1376_12160,0.8815028901734104,1.0,0.9370199692780338,0.8861111111111111,0.2545454545454545,0.11849710982658959,0.0
FunASR,17,IISc_VaaniProject_M_BR_Gaya_10106453_0646190000_BHAC_134185_1376_12160,0.8503717472118959,1.0,0.9191361125062782,0.8505106778087279,0.006172839506172839,0.1496282527881041,0.0
Silero,17,IISc_VaaniProject_M_BR_Gaya_10106453_0646190000_BHAC_134185_1376_12160,0.8810916179337231,0.9879781420765027,0.9314786192684184,0.8767377201112141,0.25609756097560976,0.1189083820662768,0.012021857923497269
SpeechBrain,17,IISc_VaaniProject_M_BR_Gaya_10106453_0646190000_BHAC_134185_1376_12160,0.9220532319391636,0.5300546448087432,0.6731436502428869,0.5606343283582089,0.7388535031847133,0.0779467680608365,0.46994535519125685
ASRmodel,17,IISc_VaaniProject_M_BR_Gaya_10106453_0646190000_BHAC_134185_1376_12160,1.0,0.10163934426229508,0.18452380952380953,0.23105706267539758,1.0,0.0,0.898360655737705
Pyannote,18,IISc_VaaniProject_M_BR_Gaya_Binu58959_0510060000_BHGJSH_123123_234_2517,0.7203791469194313,0.9743589743589743,0.8283378746594006,0.72,0.14492753623188406,0.2796208530805687,0.02564102564102564
FunASR,18,IISc_VaaniProject_M_BR_Gaya_Binu58959_0510060000_BHGJSH_123123_234_2517,0.6933333333333334,1.0,0.8188976377952756,0.6946902654867256,0.014285714285714285,0.30666666666666664,0.0
Silero,18,IISc_VaaniProject_M_BR_Gaya_Binu58959_0510060000_BHGJSH_123123_234_2517,0.7123287671232876,1.0,0.832,0.7248908296943232,0.136986301369863,0.2876712328767123,0.0
SpeechBrain,18,IISc_VaaniProject_M_BR_Gaya_Binu58959_0510060000_BHGJSH_123123_234_2517,0.7352941176470589,0.9615384615384616,0.8333333333333334,0.7272727272727273,0.15625,0.2647058823529412,0.038461538461538464
ASRmodel,18,IISc_VaaniProject_M_BR_Gaya_Binu58959_0510060000_BHGJSH_123123_234_2517,0.20317002881844382,0.9038461538461539,0.33176470588235296,0.3523375142531357,0.23300970873786409,0.7968299711815562,0.09615384615384616
Pyannote,19,IISc_VaaniProject_M_BR_Gaya_Binu58959_0513320000_BHGGEV_363756_15040_20053,0.9899396378269618,1.0,0.9949443882709808,0.9900199600798403,0.4444444444444444,0.01006036217303823,0.0
FunASR,19,IISc_VaaniProject_M_BR_Gaya_Binu58959_0513320000_BHGGEV_363756_15040_20053,0.9859719438877755,1.0,0.992936427850656,0.986,0.125,0.014028056112224449,0.0
Silero,19,IISc_VaaniProject_M_BR_Gaya_Binu58959_0513320000_BHGGEV_363756_15040_20053,0.9820359281437125,1.0,0.9909365558912386,0.9820717131474104,0.1,0.017964071856287425,0.0
SpeechBrain,19,IISc_VaaniProject_M_BR_Gaya_Binu58959_0513320000_BHGGEV_363756_15040_20053,0.98989898989899,0.9959349593495935,0.9929078014184397,0.9859719438877755,0.2857142857142857,0.010101010101010102,0.0040650406504065045
ASRmodel,19,IISc_VaaniProject_M_BR_Gaya_Binu58959_0513320000_BHGGEV_363756_15040_20053,0.42728297632469,0.7703252032520326,0.5496736765772299,0.47372881355932206,0.2616279069767442,0.5727170236753101,0.22967479674796748
Pyannote,20,IISc_VaaniProject_M_BR_Gaya_Neha437451_0539120000_BHGJFIM_192423_17056_19541,0.9556451612903226,1.0,0.977319587628866,0.9563492063492064,0.26666666666666666,0.04435483870967742,0.0
FunASR,20,IISc_VaaniProject_M_BR_Gaya_Neha437451_0539120000_BHGJFIM_192423_17056_19541,0.9595141700404858,1.0,0.9793388429752066,0.9596774193548387,0.09090909090909091,0.04048582995951417,0.0
Silero,20,IISc_VaaniProject_M_BR_Gaya_Neha437451_0539120000_BHGJFIM_192423_17056_19541,0.9537815126050421,0.9578059071729957,0.9557894736842105,0.9156626506024096,0.08333333333333333,0.046218487394957986,0.04219409282700422
SpeechBrain,20,IISc_VaaniProject_M_BR_Gaya_Neha437451_0539120000_BHGJFIM_192423_17056_19541,0.9848484848484849,0.8227848101265823,0.896551724137931,0.8163265306122449,0.625,0.015151515151515152,0.17721518987341772
ASRmodel,20,IISc_VaaniProject_M_BR_Gaya_Neha437451_0539120000_BHGJFIM_192423_17056_19541,0.2050955414012739,0.679324894514768,0.3150684931506849,0.38650306748466257,0.30973451327433627,0.7949044585987262,0.3206751054852321
Pyannote,21,IISc_VaaniProject_M_BR_Gaya_Nibh48584_0857530000_CGKDFM_26989_9664_18506,0.9601990049751243,1.0,0.9796954314720813,0.963963963963964,0.7241379310344828,0.03980099502487562,0.0
FunASR,21,IISc_VaaniProject_M_BR_Gaya_Nibh48584_0857530000_CGKDFM_26989_9664_18506,0.910377358490566,1.0,0.9530864197530864,0.9139297848244621,0.3153153153153153,0.08962264150943396,0.0
